id,date,block_number,sum_fee_ETH,sum_fee_stETH,sum_fee_convert_ETH
1,2023/09/16,18145020,0,0,0
2,2023/09/17,18152100,0.12683405036979523,0.12395350314254444,0.24980722463859104
3,2023/09/18,18159143,0.06451009866620444,0.08205616267012338,0.1462782209874966
4,2023/09/19,18166255,0.1122008375054875,0.12358311423122588,0.2354437983065636
5,2023/09/20,18173392,0.08197163094527826,0.07599762488581648,0.15753032659774638
6,2023/09/21,18180542,0.05361974045910523,0.05048581235537264,0.10381636457564124
7,2023/09/22,18187682,0.11770079580082583,0.11370726979178888,0.2306300832136804
8,2023/09/23,18194809,0.0797434846983932,0.10215300327301896,0.18140750533474775
9,2023/09/24,18201951,0.18371840770525416,0.17229437390948527,0.3546380606324479
10,2023/09/25,18209091,0.3837571521580224,0.39245194519827126,0.7734766842919413
11,2023/09/26,18216239,0.1772367553125739,0.16800918856758407,0.34421777671174286
12,2023/09/27,18223385,0.2604866555896957,0.269780537056537,0.5291038684470033
13,2023/09/28,18230531,0.06573459750030762,0.024110249802220967,0.08974675731762453
14,2023/09/29,18237666,0.17971151436047395,0.187672603643401,0.36500925261798634
15,2023/09/30,18244805,0.1572115618903766,0.1617832840857964,0.3182419189789907
16,2023/10/01,18251965,0.23189657812929348,0.2169106259721844,0.4464213686506655
17,2023/10/02,18259124,0.04575663657041004,0.09007153502064331,0.1355376311161031
18,2023/10/03,18266293,0.11138104560737495,0.10594778435162813,0.2166690356416502
19,2023/10/04,18273437,0.022161108430310085,0.02563435327993307,0.04770183357820692
20,2023/10/05,18280593,0.16785989599156034,0.16064956347489637,0.32760302042620976
21,2023/10/06,18287744,0.10620703304150823,0.09524005253136768,0.20070481861269776
22,2023/10/07,18294894,0.1120461757764388,0.12627203831935893,0.23793278066420595
23,2023/10/08,18302049,0.04050685750028709,0.028613861349816787,0.06887168355284543
24,2023/10/09,18309198,0.6812429418796299,0.6819181962713631,1.3572193150978449
25,2023/10/10,18316340,0.3813738248593962,0.3890472129713055,0.7678610041765815
26,2023/10/11,18323490,0.242195897152328,0.27155442056766715,0.5131808686389523
27,2023/10/12,18330625,0.0769317032247635,0.052022891788653984,0.12844080605456268
28,2023/10/13,18337769,0.19255867658734013,0.18070910331788742,0.37096690275824273
29,2023/10/14,18344907,0.07987493537780017,0.10406502241083683,0.18328895035971463
30,2023/10/15,18352059,0.06060094826182258,0.04362515823902146,0.10369381269626679
31,2023/10/16,18359213,0.48993903540856354,0.49784068476250126,0.9828989673480781
32,2023/10/17,18366379,0.6028558438465691,0.6176573615939769,1.2170990886289021
33,2023/10/18,18373529,0.31986674357475675,0.3263737684524896,0.6435540030212608
34,2023/10/19,18380672,0.3027489330571578,0.28997146521291245,0.5886033964782802
35,2023/10/20,18387819,0.1563836071285184,0.17179867141454508,0.3265673298359728
36,2023/10/21,18394975,0.5845711912843302,0.5681349938842168,1.1444275219411646
37,2023/10/22,18402122,0.09534571730569931,0.09870707572709855,0.19271631795838962
38,2023/10/23,18409266,0.18023171353451733,0.19243060447602345,0.3707005833655057
39,2023/10/24,18416407,0.2908310004186974,0.2961569837129084,0.5852189799936064
40,2023/10/25,18423550,0.7351118787884698,0.7180520334925442,1.4428506251139657
41,2023/10/26,18430677,0.1579066246794852,0.17535590756476976,0.33138908018032065
42,2023/10/27,18437826,0.2418490575563715,0.23290548937856848,0.47096936406874956
43,2023/10/28,18444983,0.24329613122123422,0.2888319946522641,0.5297618299817451
44,2023/10/29,18452128,0.05050234250148746,0.08987568203595361,0.13924989323787493
45,2023/10/30,18459269,0.09392216124525742,0.11031263218351937,0.2034592649009186
46,2023/10/31,18466408,0.12132154947689433,0.11484850426681101,0.2352522762741144
47,2023/11/01,18473543,0.301718259404519,0.27925712877791065,0.5774486104669502
48,2023/11/02,18480694,0.2366104235908486,0.23331126600209043,0.4660950629482183
49,2023/11/03,18487825,0.7187619809759385,0.7503804777821659,1.4643790834257298
50,2023/11/04,18494964,0.33751999936604743,0.35792667558060787,0.6952561013284515
51,2023/11/05,18502099,0.06161125720113272,0.049415748563021784,0.11079342144514444
52,2023/11/06,18509233,0.08349361477271958,0.0807866163552463,0.16364300782838376
53,2023/11/07,18516373,0.17109466840694004,0.1842830925020078,0.35469852305445826
54,2023/11/08,18523523,0.25517756921147006,0.22893977116487815,0.4803265587785695
55,2023/11/09,18530676,0.09629583528388423,0.135910878974152,0.23165504804275855
56,2023/11/10,18537827,0.5022188960029306,0.49202339928497507,0.9896981708609963
57,2023/11/11,18544980,0.510373738457204,0.49842200844074397,1.0000554050679544
58,2023/11/12,18552123,0.2954993380705144,0.3423632191314525,0.6343276745383933
59,2023/11/13,18559267,0.16571669399344852,0.17199068093936534,0.33603314848074783
60,2023/11/14,18566419,0.3221631797429586,0.5803616748277023,0.8944645071838423
61,2023/11/15,18573579,0.315239162141977,0.3142747170705645,0.6247599701830858
62,2023/11/16,18580727,0.37342626772318005,0.3703748573481568,0.7416969380253653
63,2023/11/17,18587882,0.2604537257517662,0.2621425775002395,0.521093598430988
64,2023/11/18,18595031,0.10912322175000792,0.09314870856261266,0.20134826533760264
65,2023/11/19,18602145,0.08332376412880693,0.09937020255127534,0.18225753121714294
66,2023/11/20,18609284,0.1928151992326486,0.1837020164907958,0.37500366823922643
67,2023/11/21,18616431,0.16894977712005368,0.1771454319425691,0.3450522202696074
68,2023/11/22,18623574,0.255833290111628,0.23203044064159706,0.4850758867664261
69,2023/11/23,18630716,0.250585480277486,0.2571465864856986,0.5048675863614916
70,2023/11/24,18637861,0.2092052058805238,0.21817928785189614,0.4246426148046254
71,2023/11/25,18644995,0.22543841126957626,0.19088489180901602,0.41413670408305564
72,2023/11/26,18652140,0.2438957564265328,0.20174618854839424,0.4430457713663544
73,2023/11/27,18659275,0.04396039338302903,0.06410343864033553,0.10754193607780702
74,2023/11/28,18666411,0.3408788897510649,0.3404061374702262,0.6781916310755386
75,2023/11/29,18673556,0.22402627954853485,0.23142454192878487,0.45391623690552574
76,2023/11/30,18680706,0.07258977306889895,0.07280726223004952,0.1449111996103878
77,2023/12/01,18687851,0.17318612654891424,0.15262108115256848,0.32357682505858204
78,2023/12/02,18695002,0.45401228393948756,0.4735296958767651,0.9238649471784707
79,2023/12/03,18702159,0.0908174415998103,0.11324688137802058,0.2034995151397077
80,2023/12/04,18709289,0.2536156239328865,0.25636949399219083,0.5088327039356652
81,2023/12/05,18716439,0.11984598054784495,0.10203938108359646,0.22049323558737888
82,2023/12/06,18723579,0.9579109744109433,0.9765632444533482,1.9228140037279409
83,2023/12/07,18730702,0.6182687160990346,0.6116805809008293,1.2208394456428278
84,2023/12/08,18737829,0.23102107773750347,0.24091030452867412,0.4691588288969088
85,2023/12/09,18744963,0.27358554330487656,0.2815463540893069,0.5524604518928958
86,2023/12/10,18752098,1.0808364998728415,1.058089187899915,2.12224383430607
87,2023/12/11,18759247,0.2612563347923644,0.26479064889882703,0.5221843344633383
88,2023/12/12,18766393,0.5319929481129007,0.5642390659598793,1.0943297149446436
89,2023/12/13,18773539,0.9418242648125289,0.896988480236578,1.819022464611917
90,2023/12/14,18780676,0.25167267695455875,0.304295146627392,0.5551696944082036
