block_number,reserveA,reserveB,total_supply,price
18145020,0,6352930885016967514471,4422235621790759146155,1.022081665212397
18152100,0,6372281125904562777019,4435705203955610174866,1.0216637449941282
18159143,0,6362967033148573460494,4429221721998118485249,1.020376501937935
18166255,15571589302719531137,6183091659035924370518,4314686481480304860070,1.01308672031663
18173392,856497067999581864153,3657266921481681172614,3135245961463966669947,1.0112502686510252
18180542,829013467112493512162,3141328976567425716249,2757158217613057341950,1.011269398454522
18187682,878393665568196182139,2858677034993865368099,2594337700628754221769,1.0112957704786734
18194809,791668827096368918987,2444070434111050406891,2246050650914917906501,1.0113054354646809
18201951,843977716304067257257,2337802881541552759163,2208066621945436023023,1.011326138486709
18209091,810207320952246063520,2332382173797860507879,2181042515138196231330,1.0113186581838893
18216239,748968570232934112782,2387350814476143537882,2177144947911337054998,1.0112995458761806
18223385,382123870358724502947,2490571102364545678893,1996452667563916490300,1.0111933451247155
18230531,398726275148052737791,2473782001947214731094,1996189670872291968855,1.0111991495865948
18237666,730102306912332144336,2115652085128410603565,1974945328561811096064,1.0113173944226523
18244805,829082171364057293461,1988329099866544969946,1954416750567494459032,1.0113553332178535
18251965,377776717586539911842,2403947725328809330383,1932992277648828516582,1.0111961401272336
18259124,370493995737453337309,2270574000757855902570,1835148431340296027992,1.011200627980365
18266293,316691652241948090621,2280842568448850883295,1805251862656251259833,1.0111822172852714
18273437,291912121651469282415,2294579411619464864273,1797683784601894125871,1.0111731361423126
18280593,278006714582128743542,2303779422729384867310,1794510810337305361013,1.0111679445312394
18287744,284722320025094366608,2296573690291159429883,1794106433062770066395,1.011170572281098
18294894,607365595188383219220,1974499387960089482312,1791956629978147323442,1.0112959657204106
18302049,108068086048287923444,2466135194328424204754,1790393672880505065058,1.0111021547397308
18309198,97324912059747766028,2441617044561346641595,1765930009325620908790,1.0110985042305562
18316340,70986921963916752555,2464997051346949961254,1764054024020313927876,1.0110881586441771
18323490,81191133623380752675,2372853453261952063565,1706961803452118883721,1.0100827479700607
18330625,0,2180655241624094245064,1517277681028103993241,1.007171530813981
18337769,119445236550774554321,2042789693552649378101,1503696929027569360958,1.0080869324704371
18344907,129871544195473057210,2025756785974368710581,1499001751634782756914,1.0070844607438827
18352059,172039779612487540838,1983063864720029607249,1498360570765814979022,1.0071040561898004
18359213,218290004764727271134,1925089444729779907982,1489855705020278914597,1.00712609360741
18366379,396129095176337632868,1749032163650551767324,1490065078416870966961,1.0072090608192035
18373529,448302098721811481148,1687158069494800421739,1482690015155865685861,1.0072343974955447
18380672,919876294454016351805,1185180178618455452727,1458962340830085038661,1.0074624827028844
18387819,598432171560673265559,1495612325117674127684,1452682850655566648046,1.0073104998130826
18394975,631237726200451119194,1397514102785177957164,1406941965123042569107,1.007335972980473
18402122,847441182168115895932,1178817487411228887962,1403743845097713917825,1.0074436122091266
18409266,859421103619150223738,1142571702262438347739,1386550488143122497605,1.0074547331199588
18416407,803473737590663612233,1133145575514311207170,1341280513662903116225,1.0074402473221913
18423550,767235872608956012138,1164717994534178343379,1338184392139071219326,1.0074223884904547
18430677,718679399975421180310,1052477546483728922123,1226689381395929592642,1.007431077119361
18437826,327855820556478980188,1432245600459658321677,1220900665854413227801,1.0072106740341724
18444983,737532911485696455257,990453835664185439071,1196450568074401675046,1.0074522513520938
18452128,803260736327381393496,922108825446060932663,1194275327656927492252,1.007491244513197
18459269,734718150254529619062,990395638934729542753,1194441082253475024581,1.0074513248517436
18466408,713970625485851987618,1006914901617760447064,1191607974710268904000,1.0074402482204607
18473543,692474398593367560255,1028017929433619406303,1191441369825317315036,1.0074277759174692
18480694,1585224764468111529929,0,1092556196144841211376,1.0148133775389345
18487825,1392094295072457655641,14546287588437937478,969579995011393540048,1.0191699442356141
18494964,1402636361178983076391,4266528197796715897,969627242725235978887,1.0212178179443423
18502099,1391336270063794810133,15303182034553823016,969605012963297894452,1.021209639655376
18509233,98910991382793363778,1272601442276057585173,963577685794795212024,1.0131563741394192
18516373,1059937001779560123178,321489847606125104164,963577685794795212024,1.010822984133114
18523523,999037609576007669819,357793019204526183753,946726321741298368260,1.010791512012964
18530676,988355469247340154807,360924209073795371417,941491114046905646542,1.0107876561979734
18537827,1353307129097547388780,0,941491114046905646542,1.013960298142328
18544980,1348333720041189481394,0,938031130475989377756,1.0135588606323553
18552123,1338789329074260356730,0,931391130515045102033,1.0136384146238613
18559267,984071050933765720072,0,684614844719522589966,1.013742472544929
18566419,950850693013854115063,0,661503555999783586595,1.013660497661433
18573579,948517040098960013903,0,659880041695157407086,1.0139122519279506
18580727,943231969213894895394,0,656203236062192946980,1.0136981579026283
18587882,938211911130167224519,862827599388666784,653319405489076751599,1.0140968045185297
18595031,931144676194046977297,3026749826235350439,649937416595110046725,1.018158702520803
18602145,932509075531029107261,0,648740612593337993628,1.0244041792339134
18609284,788472836779692788097,136853906814685132346,646114861467374945442,1.0251590006986087
18616431,884167307509521034217,6972298110944062850,620020659943710479198,1.0253056179608784
18623574,488297718181886722230,387458590008819288834,615903412935559894816,1.0248541266591735
18630716,566631502691121748285,306343410591635063971,612535130802805171626,1.0249483613573038
18637861,128186055971499704607,734433744353374056739,612601116088851292821,1.0244381774652598
18644995,80608910897958193291,780219134348858557780,612125146965849181601,1.024382912743808
18652140,100409965545137356679,758918534595527805109,610680092190038511938,1.0244062294664347
18659275,3318125401691476661,853948934993851586286,610841322503378644528,1.024292958608312
18666411,0,856187623919911999797,610127718387803181681,1.0239809589291873
18673556,44082650564798869291,811775096108483893605,609137850773601784314,1.0243406440418525
18680706,105865036940973790742,750408395017620583645,608369266289738133990,1.0244130544417838
18687851,123033512731902855039,727278723957983305597,603826902599990575751,1.024434242198861
18695002,120986826564870210315,728197726269718997221,603057564408954467487,1.0244320094312813
18702159,95231177108264247317,752232050142491912484,602264860786723154719,1.02440173109234
18709289,67192183319587814575,776559761600673581447,600090675598324004171,1.0243688523529118
18716439,157666205587928462917,685517226876334837062,598118382372455974969,1.024476866285459
18723579,141874841271045119442,699346663390846698479,596987009409300502432,1.0244583779169603
18730702,106831918052256366072,733678367728002382150,597067511239328548319,1.0244165434319858
18737829,212558644702907550,836808134514487472184,596364456529801870017,1.0242893426969921
18744963,0,807396534148248650034,575239383236084779426,1.0197011375768184
18752098,0,792464057459513523534,564598599452908618989,1.019755474415074
18759247,506845281040982143175,280934828286694916353,553927311761127771186,1.020852047562777
18766393,761444814815292610975,0,531382339549142950313,1.0220388614318217
18773539,759470047870452517289,0,530004227493224636930,1.0249566226953872
18780676,754859855164157098960,0,526786955619572298608,1.0262153404161447
